claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,evidence_span,verifiability,needs_human_review
openai_00022_0001,openai,00022,health indicators by category (00022),overview_and_main_message,This Column chart titled 'health indicators by category (00022)' presents data visualization for CASE_00022,value,,00022|00022,,This Column chart titled 'health indicators by category (00022)' presents data visualization for CASE_00022,high,False
openai_00022_0002,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00022_0003,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00022_0004,openai,00022,health indicators by category (00022),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00047_0005,openai,00047,health indicators by category (00047),overview_and_main_message,This Column chart titled 'health indicators by category (00047)' presents data visualization for CASE_00047,value,,00047|00047,,This Column chart titled 'health indicators by category (00047)' presents data visualization for CASE_00047,high,False
openai_00047_0006,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00047_0007,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00047_0008,openai,00047,health indicators by category (00047),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00053_0009,openai,00053,health indicators by category (00053),overview_and_main_message,This Column chart titled 'health indicators by category (00053)' presents data visualization for CASE_00053,value,,00053|00053,,This Column chart titled 'health indicators by category (00053)' presents data visualization for CASE_00053,high,False
openai_00053_0010,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00053_0011,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00053_0012,openai,00053,health indicators by category (00053),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00056_0013,openai,00056,health indicators by category (00056),overview_and_main_message,This Column chart titled 'health indicators by category (00056)' presents data visualization for CASE_00056,value,,00056|00056,,This Column chart titled 'health indicators by category (00056)' presents data visualization for CASE_00056,high,False
openai_00056_0014,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00056_0015,openai,00056,health indicators by category (00056),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00056_0016,openai,00056,health indicators by category (00056),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00073_0017,openai,00073,health indicators by category (00073),overview_and_main_message,This Column chart titled 'health indicators by category (00073)' presents data visualization for CASE_00073,value,,00073|00073,,This Column chart titled 'health indicators by category (00073)' presents data visualization for CASE_00073,high,False
openai_00073_0018,openai,00073,health indicators by category (00073),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00073_0019,openai,00073,health indicators by category (00073),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00073_0020,openai,00073,health indicators by category (00073),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00074_0021,openai,00074,health indicators by category (00074),overview_and_main_message,This Column chart titled 'health indicators by category (00074)' presents data visualization for CASE_00074,value,,00074|00074,,This Column chart titled 'health indicators by category (00074)' presents data visualization for CASE_00074,high,False
openai_00074_0022,openai,00074,health indicators by category (00074),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00074_0023,openai,00074,health indicators by category (00074),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00074_0024,openai,00074,health indicators by category (00074),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00082_0025,openai,00082,health indicators by category (00082),overview_and_main_message,This Column chart titled 'health indicators by category (00082)' presents data visualization for CASE_00082,value,,00082|00082,,This Column chart titled 'health indicators by category (00082)' presents data visualization for CASE_00082,high,False
openai_00082_0026,openai,00082,health indicators by category (00082),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00082_0027,openai,00082,health indicators by category (00082),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00082_0028,openai,00082,health indicators by category (00082),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
openai_00090_0029,openai,00090,health indicators by category (00090),overview_and_main_message,This Column chart titled 'health indicators by category (00090)' presents data visualization for CASE_00090,value,,00090|00090,,This Column chart titled 'health indicators by category (00090)' presents data visualization for CASE_00090,high,False
openai_00090_0030,openai,00090,health indicators by category (00090),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True
openai_00090_0031,openai,00090,health indicators by category (00090),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True
openai_00090_0032,openai,00090,health indicators by category (00090),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True
