claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,evidence_span,verifiability,needs_human_review,verification_status,verification_reason,gt_source,gt_values_count,gt_category_count,gt_series_count,gt_min,gt_max,gt_mean,gt_median,gt_std_dev,matched_values
openai_00022_0001,openai,00022,health indicators by category (00022),overview_and_main_message,"This chart shows health indicators in thousands of patients across 12 healthcare categories, comparing three statuses: Resolved, Under follow-up, and Referred",value,,12,,"This chart shows health indicators in thousands of patients across 12 healthcare categories, comparing three statuses: Resolved, Under follow-up, and Referred",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,12.0
openai_00022_0002,openai,00022,health indicators by category (00022),overview_and_main_message,"The main message is that values generally decline from Primary care to Cardiology, and in every category the Referred group is highest, Under follow-up is in the middle, and Resolved is lowest",extreme,max,,,"The main message is that values generally decline from Primary care to Cardiology, and in every category the Referred group is highest, Under follow-up is in the middle, and Resolved is lowest",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0003,openai,00022,health indicators by category (00022),overview_and_main_message,"This indicates a consistent ranking of the three statuses across all categories, with the largest patient volumes concentrated in Primary care and Emergency and the smallest in Surgery and Cardiology",ranking,,,,"This indicates a consistent ranking of the three statuses across all categories, with the largest patient volumes concentrated in Primary care and Emergency and the smallest in Surgery and Cardiology",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0004,openai,00022,health indicators by category (00022),chart_structure,"The X axis represents the 12 categories: Primary care, Emergency, Hospitalization, Diagnosis, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology",value,,12,,"The X axis represents the 12 categories: Primary care, Emergency, Hospitalization, Diagnosis, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,12.0
openai_00022_0005,openai,00022,health indicators by category (00022),chart_structure,"The Y axis represents the number of patients, measured in thousands of patients, ranging from 54.9 to 230.8",value,,54.9|230.8,,"The Y axis represents the number of patients, measured in thousands of patients, ranging from 54.9 to 230.8",high,False,supported,all_numeric_values_matched,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,54.9|230.8
openai_00022_0006,openai,00022,health indicators by category (00022),chart_structure,"For each category, three values are compared: Resolved, Under follow-up, and Referred",comparison,,,,"For each category, three values are compared: Resolved, Under follow-up, and Referred",medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0007,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,Values are highest in Primary care and then generally decrease through the listed categories until reaching the lowest levels in Cardiology,extreme,max,,,Values are highest in Primary care and then generally decrease through the listed categories until reaching the lowest levels in Cardiology,medium,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0008,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,The gap between categories is substantial,other,,,,The gap between categories is substantial,low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0009,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"Categories such as Primary care, Emergency, and Hospitalization have much higher patient counts than Pediatrics, Geriatrics, Surgery, and Cardiology",other,,,,"Categories such as Primary care, Emergency, and Hospitalization have much higher patient counts than Pediatrics, Geriatrics, Surgery, and Cardiology",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0010,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"Category averages reinforce this contrast, from 205.3 thousand in Primary care down to 68.8 thousand in Cardiology",value,,205.3|68.8,,"Category averages reinforce this contrast, from 205.3 thousand in Primary care down to 68.8 thousand in Cardiology",high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,205.3
