claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,evidence_span,verifiability,needs_human_review
openai_00022_0001,openai,00022,health indicators by category (00022),overview_and_main_message,"This clustered column chart shows health indicators across 12 healthcare categories, measured in thousands of patients, for three patient-status groups: Resolved, Under follow-up, and Referred",value,,12,,"This clustered column chart shows health indicators across 12 healthcare categories, measured in thousands of patients, for three patient-status groups: Resolved, Under follow-up, and Referred",high,False
openai_00022_0002,openai,00022,health indicators by category (00022),overview_and_main_message,"Its main message is that values generally decline from Primary care through to Cardiology, and that Referred is consistently the highest series in every category, Under follow-up is always in the middle, and Resolved is always the lowest",extreme,max,,,"Its main message is that values generally decline from Primary care through to Cardiology, and that Referred is consistently the highest series in every category, Under follow-up is always in the middle, and Resolved is always the lowest",medium,True
openai_00022_0003,openai,00022,health indicators by category (00022),chart_structure,"The Y-axis represents the number of patients in thousands, ranging from 54.9 to 230.8 thousand patients",value,,54.9|230.8,,"The Y-axis represents the number of patients in thousands, ranging from 54.9 to 230.8 thousand patients",high,False
openai_00022_0004,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"The highest values occur in Primary care and Emergency, while the lowest values occur in Surgery and especially Cardiology",extreme,max,,,"The highest values occur in Primary care and Emergency, while the lowest values occur in Surgery and especially Cardiology",medium,True
openai_00022_0005,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"Across all categories, the ordering is stable: Referred is always highest, Under follow-up always second, and Resolved always lowest",extreme,max,,,"Across all categories, the ordering is stable: Referred is always highest, Under follow-up always second, and Resolved always lowest",medium,True
openai_00022_0006,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,This indicates a consistent gap between statuses regardless of category,other,,,,This indicates a consistent gap between statuses regardless of category,low,True
openai_00022_0007,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,The spread between categories is substantial,other,,,,The spread between categories is substantial,low,True
openai_00022_0008,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"High-volume categories such as Primary care, Emergency, and Hospitalization are far above lower-volume categories like Geriatrics, Surgery, and Cardiology, showing a strong concentration of patients in the earlier categories listed",other,>,,,"High-volume categories such as Primary care, Emergency, and Hospitalization are far above lower-volume categories like Geriatrics, Surgery, and Cardiology, showing a strong concentration of patients in the earlier categories listed",low,True
openai_00022_0009,openai,00022,health indicators by category (00022),essential_key_details,The overall maximum value in the chart is 230.8 thousand patients for Referred in Primary care,extreme,max,230.8,,The overall maximum value in the chart is 230.8 thousand patients for Referred in Primary care,high,False
openai_00022_0010,openai,00022,health indicators by category (00022),essential_key_details,The overall minimum is 54.9 thousand for Resolved in Cardiology,extreme,min,54.9,,The overall minimum is 54.9 thousand for Resolved in Cardiology,high,False
