claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,evidence_span,verifiability,needs_human_review,verification_status,verification_reason,gt_source,gt_values_count,gt_category_count,gt_series_count,gt_min,gt_max,gt_mean,gt_median,gt_std_dev,matched_values
openai_00022_0001,openai,00022,health indicators by category (00022),overview_and_main_message,This Column chart titled 'health indicators by category (00022)' presents data visualization for CASE_00022,value,,00022|00022,,This Column chart titled 'health indicators by category (00022)' presents data visualization for CASE_00022,high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0002,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0003,openai,00022,health indicators by category (00022),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00022_0004,openai,00022,health indicators by category (00022),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",36,12,3,54.9,230.8,135.358333,133.75,47.765961,
openai_00047_0005,openai,00047,health indicators by category (00047),overview_and_main_message,This Column chart titled 'health indicators by category (00047)' presents data visualization for CASE_00047,value,,00047|00047,,This Column chart titled 'health indicators by category (00047)' presents data visualization for CASE_00047,high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0006,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0007,openai,00047,health indicators by category (00047),relevant_patterns_trends_and_comparisons,Comparisons between different data series reveal interesting relationships,other,,,,Comparisons between different data series reveal interesting relationships,low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00047_0008,openai,00047,health indicators by category (00047),essential_key_details,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",other,,,,"Data points are distributed according to their respective categories, providing a comprehensive view of the underlying dataset",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",3,3,1,97.5,350.5,227.666667,235.0,126.65932,
openai_00053_0009,openai,00053,health indicators by category (00053),overview_and_main_message,This Column chart titled 'health indicators by category (00053)' presents data visualization for CASE_00053,value,,00053|00053,,This Column chart titled 'health indicators by category (00053)' presents data visualization for CASE_00053,high,False,contradicted,some_numeric_values_not_found,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
openai_00053_0010,openai,00053,health indicators by category (00053),relevant_patterns_trends_and_comparisons,"Key trends indicate variations in the measured values, with some categories showing higher values than others",other,,,,"Key trends indicate variations in the measured values, with some categories showing higher values than others",low,True,insufficient_data,no_numeric_values_in_claim,"{'table': 'charts.json', 'stats': 'numeric_summary.global_stats'}",10,10,1,44.2,155.1,101.29,99.9,36.748921,
