claim_id,provider,case_id,chart,section,claim_text,claim_type,operator,value_expected,period,verifiability,verification_status,verification_reason,gt_source,gt_source_table,gt_source_stats,gt_values_count,gt_category_count,gt_series_count,gt_min,gt_max,gt_mean,gt_median,gt_std_dev,matched_values
chatgpt_00024_001,chatgpt,00024,Evolució de salut per període (00024),overview_and_main_message,This chart shows how the health indicator changes over time,other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
chatgpt_00024_002,chatgpt,00024,Evolució de salut per període (00024),overview_and_main_message,"The main message is a temporary rise around the middle of the period, with the series returning close to its starting level",other,,,,low,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
chatgpt_00024_003,chatgpt,00024,Evolució de salut per període (00024),chart_structure,"The chart’s purpose is stated by the title, “Evolució de salut per període (00024)",value,,00024,,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
chatgpt_00024_004,chatgpt,00024,Evolució de salut per període (00024),chart_structure,"” The X-axis represents període, covering 2013 to 2025",value,,2013|2025,2013|2025,high,contradicted,some_numeric_values_not_found,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
chatgpt_00024_005,chatgpt,00024,Evolució de salut per període (00024),chart_structure,"The Y-axis represents milers de pacients, ranging from 38.6 to 85.1 milers de pacients",value,,38.6|85.1,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6|85.1
chatgpt_00024_006,chatgpt,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,"The series starts and ends at the same level, 38.6 thousand patients",value,,38.6,,high,supported,all_numeric_values_matched,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6
chatgpt_00024_007,chatgpt,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,"The highest point is a local peak in 2019, at 85.1 thousand patients",extreme,max,2019.|85.1,2019,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,85.1
chatgpt_00024_008,chatgpt,00024,Evolució de salut per període (00024),relevant_patterns_trends_and_comparisons,"The pattern forms a rise to a central peak followed by a decline, suggesting a temporary surge rather than sustained growth",extreme,max,,,medium,insufficient_data,no_numeric_values_in_claim,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,
chatgpt_00024_009,chatgpt,00024,Evolució de salut per període (00024),essential_key_details,"The minimum value is 38.6 thousand patients in 2013, 2025",extreme,min,38.6|2013.|2025,2013|2025,high,supported,checked_against_groundtruth_min,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,38.6
chatgpt_00024_010,chatgpt,00024,Evolució de salut per període (00024),essential_key_details,The maximum value is 85.1 thousand patients in 2019,extreme,max,85.1|2019,2019,high,supported,checked_against_groundtruth_max,"{'table': 'chartsold.json', 'stats': None}",chartsold.json,,13,13,1,38.6,85.1,51.79230769230769,44.4,16.11895499277703,85.1
